,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
0,Alright.,alright,0.0,1.0,0.0,0.0,0.25,Positive,
1,"Let's see OK, so Yep, I'll read the test number one.",let us see ok yep shall read test number one,0.5,0.592,0.0,0.408,0.7717,Positive,
2,I think I took more than 122 minutes.,think take 122 minute,0.0,0.0,0.0,1.0,0.0,Neutral,
3,"Uh, what I did is to take a look over the whole website to get an idea what's in there, like statistics, uh?",uh take look whole website get idea like statistic uh,0.4,0.217,0.0,0.783,0.3612,Positive,['Satisfaction']
4,"I think it was, can you?",think,0.0,0.0,0.0,1.0,0.0,Neutral,
5,Close the video.,close video,0.0,0.0,0.0,1.0,0.0,Neutral,
6,"Yeah, So what I did here is I tried to take a look over the whole website and to see like first there was some statistics.",yeah try take look whole website see like first statistic,0.3666666666666667,0.524,0.0,0.476,0.7717,Positive,['Satisfaction']
7,Then there were like links and what's called like something similar to frequently asked questions.,like link call like something similar frequently ask question,0.35,0.417,0.0,0.583,0.6124,Positive,"['Satisfaction', 'Satisfaction']"
8,And there was this map then and other stuff it.,map stuff,0.0,0.0,0.0,1.0,0.0,Neutral,
9,"But I think I spoke too much in this section, but it's OK. We can, uh, play the video.",think speak much section ok uh play video,0.35,0.434,0.0,0.566,0.5574,Positive,
10,Continue with.,continue,0.0,0.0,0.0,1.0,0.0,Neutral,
11,"Yeah, and then here I've seen things there is abs.",yeah see thing ab,0.0,0.722,0.0,0.278,0.6369,Positive,
12,"Yeah, I think I went to deep with this one, yeah?",yeah think go deep one yeah,0.4,0.524,0.0,0.476,0.5267,Positive,
13,Till I recognize that there is another desk.,till recognize another desk,0.0,0.5,0.0,0.5,0.4588,Positive,
14,Did they explain here?,explain,0.0,0.0,0.0,1.0,0.0,Neutral,
15,"Yeah, OK, I'm alright.",yeah ok alright,0.5,1.0,0.0,0.0,0.6597,Positive,
16,Exactly and now.,exactly,0.25,0.0,0.0,1.0,0.0,Neutral,
17,"Here's the initial impression, so I think for my initial impression or.",heres initial impression think initial impression,0.0,0.487,0.0,0.513,0.4215,Positive,
18,Here when I hear where I spoke that OK for my initial brochure it was OK. Let's pretend that.,hear speak ok initial brochure ok let us pretend,0.3333333333333333,0.373,0.119,0.508,0.4588,Positive,
19,Hmm.,hmm,0.0,0.0,0.0,1.0,0.0,Neutral,
20,"Let's pretend that I don't know anything about kovid or something like that, like somehow my memory was erased for the last two years.",let us pretend not know anything kovid something like like somehow memory erase last two year,0.06666666666666667,0.239,0.186,0.575,0.2778,Positive,"['Satisfaction', 'Satisfaction']"
21,And.,,0.0,0.0,0.0,0.0,0.0,Neutral,
22,A new virus of all of the world.,new virus world,0.45454545454545453,0.0,0.0,1.0,0.0,Neutral,
23,It's called COVID and iOS.,call covid ios,0.0,0.0,0.0,1.0,0.0,Neutral,
24,Given adding to know more about it and I would open this link.,given add know would open link,0.5,0.375,0.0,0.625,0.4588,Positive,
25,And the first thing I would notice that in the link.,first thing would notice link,0.3333333333333333,0.429,0.0,0.571,0.4588,Positive,
26,"So there is corona and then there is golf, which means that it's not a private website where everyone can edit everything they want.",corona golf mean not private website everyone edit everything want,0.53125,0.126,0.0,0.874,0.0772,Positive,
27,It's like it belongs to government or something like that.,like belong government something like,0.0,0.625,0.0,0.375,0.6124,Positive,"['Satisfaction', 'Satisfaction']"
28,"Then it it like this source might be a little bit trusted, for example, and the second thing was the traveling.",like source might little bit trust example second thing traveling,0.25,0.42,0.0,0.58,0.7003,Positive,['Satisfaction']
29,"So that was quite fast to see in case someone was interested in there, so they would see that immediately there after that, where the statistics.",quite fast see case someone interested would see immediately statistic,0.55,0.562,0.0,0.438,0.8393,Positive,
30,"Statistics are statistics and numbers are, uh and amazing way.",statistics statistic number uh amazing way,0.9,0.56,0.0,0.44,0.6249,Positive,
31,Like to make sense of something like.,like make sense something like,0.0,0.625,0.0,0.375,0.6124,Positive,"['Satisfaction', 'Satisfaction']"
32,"One can talk a lot about different things, but if you put a number in context to it, you can.",one talk lot different thing put number context,0.6,0.157,0.0,0.843,0.0772,Positive,
33,You you can make more sense of it per se.,make sense per se,0.0,0.0,0.0,1.0,0.0,Neutral,
34,"Then this was the part where I liked that there is, like quicklinks, there is a frequently asked questions.",part like like quicklinks frequently ask question,0.3,0.5,0.0,0.5,0.6124,Positive,"['Satisfaction', 'Satisfaction']"
35,"So if I was looking for something, there is a part like it's not.",look something part like not,0.0,0.385,0.0,0.615,0.3612,Positive,['Satisfaction']
36,Far from the top there is this part here and then there was this map that I tried to understand that I don't think it was updated.,far top part map try understand not think update,0.75,0.184,0.0,0.816,0.2023,Positive,
37,"I. I understand the idea behind it, but I don't think it was updated and here was my question that if the stock would then.",understand idea behind not think update question stock would,0.7,0.0,0.0,1.0,0.0,Neutral,
38,"Is, uh, can you pause the video a little bit?",uh pause video little bit,0.5,0.0,0.0,1.0,0.0,Neutral,
39,It's yeah.,yeah,0.0,1.0,0.0,0.0,0.296,Positive,
40,Thank you so.,thank,0.0,1.0,0.0,0.0,0.3612,Positive,
41,The.,,0.0,0.0,0.0,0.0,0.0,Neutral,
42,Airport to us.,airport us,0.0,0.0,0.0,1.0,0.0,Neutral,
43,I think they were in in in is it called Slovak?,think call slovak,0.0,0.0,0.0,1.0,0.0,Neutral,
44,"OK, I think so.",ok think,0.5,0.688,0.0,0.312,0.296,Positive,
45,I don't think they were in English.,not think english,0.0,0.0,0.0,1.0,0.0,Neutral,
46,I didn't open them.,not open,0.5,0.0,0.0,1.0,0.0,Neutral,
47,My point.,point,0.0,0.0,0.0,1.0,0.0,Neutral,
48,"Uh, that was an assumption.",uh assumption,0.0,0.0,0.0,1.0,0.0,Neutral,
49,And then I saw that there is a call center.,saw call center,0.1,0.0,0.0,1.0,0.0,Neutral,
50,I say that having a call center is always a good idea.,say call center always good idea,0.35000000000000003,0.367,0.0,0.633,0.4404,Positive,
51,A good options in case there is a question or there's an emergency and.,good option case question emergency,0.6000000000000001,0.341,0.306,0.353,0.0772,Positive,
52,So there there were.,,0.0,0.0,0.0,0.0,0.0,Neutral,
53,There are apps available which I find quite interesting.,apps available find quite interesting,0.45,0.666,0.0,0.334,0.7178,Positive,
54,Done something important to have as.,done something important,1.0,0.474,0.0,0.526,0.2023,Positive,
55,Nowadays you can't like.,nowadays not like,0.0,0.0,0.513,0.487,-0.2755,Negative,['Satisfaction']
56,"For example, you can't live without mobile like a smartphone, and it would make things quite easy and accessible, and I think that's a smart move.",example not live without mobile like smartphone would make thing quite easy accessible think smart move,0.5877976190476191,0.281,0.1,0.619,0.5835,Positive,['Satisfaction']
57,"Also, and the last thing OK.",also last thing ok,0.2833333333333333,0.423,0.0,0.577,0.296,Positive,
58,"Here was a point where I read the Ministry of Investments, Regional Development, and informalization information.",point read ministry investments regional development informalization information,0.0,0.0,0.0,1.0,0.0,Neutral,
59,Informatization yeah.,informatization yeah,0.0,0.688,0.0,0.312,0.296,Positive,
60,And there was a I was a little bit confused because I thought that the website should be like would be run by the I mean for health and.,little bit confused think website like would run mean health,0.6291666666666667,0.195,0.18,0.625,0.0516,Positive,['Satisfaction']
61,Or something like that and.,something like,0.0,0.714,0.0,0.286,0.3612,Positive,['Satisfaction']
62,"Uh, that was just, uh, a thing that I expected.",uh uh thing expect,0.0,0.0,0.0,1.0,0.0,Neutral,['Expectation']
63,And here it it wasn't.,wasnt,0.0,0.0,0.0,1.0,0.0,Neutral,
64,"So I, I'm not sure how it was how it works like I now I know that this ministry is the one responsible for the website, but I thought it was from the health ministry per say.",not sure work like know ministry one responsible website think health ministry per say,0.7194444444444444,0.274,0.21,0.516,0.3022,Positive,['Satisfaction']
65,"OK. OK. OK, it would make more sense.",ok ok ok would make sense,0.5,0.688,0.0,0.312,0.6808,Positive,
