,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
0,    Commit case.,commit case,0.0,0.688,0.0,0.312,0.296,Positive,
1,Oh maybe I found it.,oh maybe find,0.0,0.6,0.0,0.4,0.4588,Positive,
2,"Oh, maybe it's here.",oh maybe,0.0,0.0,0.0,1.0,0.0,Neutral,
3,I don't know I I think.,not know think,0.0,0.0,0.554,0.446,-0.357,Negative,
4,"It's OK, I don't know.",ok not know,0.5,0.387,0.437,0.176,-0.0721,Negative,
5,I don't have any.,not,0.0,0.0,0.0,1.0,0.0,Neutral,
6,"I'm not interested about this statistics, so I'm not really sure what I.",not interested statistic not really sure,0.6944444444444444,0.0,0.526,0.474,-0.5325,Negative,
7,But information is valuable.,information valuable,0.0,0.756,0.0,0.244,0.4767,Positive,
8,And.,,0.0,0.0,0.0,0.0,0.0,Neutral,
9,I'm going to check what this exactly means.,go check exactly mean,0.6875,0.0,0.0,1.0,0.0,Neutral,
10,And.,,0.0,0.0,0.0,0.0,0.0,Neutral,
11,Find me information about X. I'm from corpus OK.,find information x corpus ok,0.5,0.634,0.0,0.366,0.6369,Positive,
12,So I'm looking for some information about traveling maybe.,look information travel maybe,0.0,0.0,0.0,1.0,0.0,Neutral,
13,So probably you need to find.,probably need find,0.0,0.6,0.0,0.4,0.4588,Positive,
14,Where are you traveling from?,travel,0.0,0.0,0.0,1.0,0.0,Neutral,
15,Exceptions.,exceptions,0.0,0.0,0.0,1.0,0.0,Neutral,
16,So maybe there is something else.,maybe something else,0.0,0.0,0.0,1.0,0.0,Neutral,
17,Ask.,ask,0.0,0.0,0.0,1.0,0.0,Neutral,
18,Describe your experience navigating the extension.,describe experience navigate extension,0.0,0.0,0.0,1.0,0.0,Neutral,
19,"OK, maybe I didn't find them OK. Then it must be somewhere else.",ok maybe not find ok must somewhere else,0.5,0.19,0.378,0.432,-0.2887,Negative,
20,Exception rule.,exception rule,0.0,0.0,0.0,1.0,0.0,Neutral,
21,Now he's here.,,0.0,0.0,0.0,0.0,0.0,Neutral,
22,So what I mean?,mean,0.6875,0.0,0.0,1.0,0.0,Neutral,
23,To brightness.,brightness,0.0,1.0,0.0,0.0,0.3818,Positive,
24,"Don't probably just search for it, I'm I'm not really sure.",not probably search not really sure,0.8888888888888888,0.0,0.304,0.696,-0.2912,Negative,
25,Find I think formation on the website.,find think formation website,0.0,0.5,0.0,0.5,0.4588,Positive,
26,I want to go on this website bordering.,want go website bordering,0.0,0.302,0.0,0.698,0.0772,Positive,
27,But page from this one.,page one,0.0,0.0,0.0,1.0,0.0,Neutral,
28,Somewhere here it was on the top.,somewhere top,0.5,0.643,0.0,0.357,0.2023,Positive,
29,"OK, OK.",ok ok,0.5,1.0,0.0,0.0,0.5267,Positive,
30,Select Is instead of isolate.,select instead isolate,0.0,0.0,0.474,0.526,-0.2023,Negative,
31,OK.,ok,0.5,1.0,0.0,0.0,0.296,Positive,
32,Bent.,bent,0.0,0.0,0.0,1.0,0.0,Neutral,
33,Here on this.,,0.0,0.0,0.0,0.0,0.0,Neutral,
34,Page.,page,0.0,0.0,0.0,1.0,0.0,Neutral,
35,Through this website and math.,website math,0.0,0.0,0.0,1.0,0.0,Neutral,
36,I'm not sure if click here and add also Austria.,not sure click add also austria,0.8888888888888888,0.0,0.282,0.718,-0.2411,Negative,
37,Uh.,uh,0.0,0.0,0.0,1.0,0.0,Neutral,
38,Sometimes I.,sometimes,0.0,0.0,0.0,1.0,0.0,Neutral,
39,"Put it on the card when I need to feel what countries I visited, so I would probably do it.",put card need feel country visit would probably,0.0,0.0,0.0,1.0,0.0,Neutral,
40,I would probably bring him.,would probably bring,0.0,0.0,0.0,1.0,0.0,Neutral,
41,It's.,,0.0,0.0,0.0,0.0,0.0,Neutral,
42,I will put here maybe Austria.,put maybe austria,0.0,0.0,0.0,1.0,0.0,Neutral,
43,OK.,ok,0.5,1.0,0.0,0.0,0.296,Positive,
44,I'm just checking if everything is correct.,check everything correct,0.0,0.0,0.0,1.0,0.0,Neutral,
45,You are not.,not,0.0,0.0,0.0,1.0,0.0,Neutral,
46,Vaccinating.,vaccinating,0.0,0.0,0.0,1.0,0.0,Neutral,
47,OK.,ok,0.5,1.0,0.0,0.0,0.296,Positive,
48,I don't have.,not,0.0,0.0,0.0,1.0,0.0,Neutral,
49,Heart is it over here and do I have it?,heart,0.0,1.0,0.0,0.0,0.6369,Positive,
50,Sit down.,sit,0.0,0.0,0.0,1.0,0.0,Neutral,
51,You mean like the?,mean like,0.6875,0.714,0.0,0.286,0.3612,Positive,['Satisfaction']
