,Sentence,Pre-processed sentence,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound,vader-polarity,sentiment-category
0,Task number one.,task number one,0.0,0.394,0.0,0.606,0.0772,Positive,
1,Find the information about which region in Slovakia has the highest number of total COVID cases.,find information region slovakia high number total covid case,0.645,0.381,0.0,0.619,0.5106,Positive,
2,Advanced statistics.,advanced statistic,0.6,0.667,0.0,0.333,0.25,Positive,
3,Probably right?,probably right,0.5357142857142857,0.0,0.0,1.0,0.0,Neutral,
4,Yeah.,yeah,0.0,1.0,0.0,0.0,0.296,Positive,
5,I'd assume so.,would assume,0.0,0.0,0.0,1.0,0.0,Neutral,['Expectation']
6,"Uh, which region?",uh region,0.0,0.0,0.0,1.0,0.0,Neutral,
7,These are regions.,region,0.0,0.0,0.0,1.0,0.0,Neutral,
8,Number of new cases in the region.,number new case region,0.45454545454545453,0.302,0.0,0.698,0.0772,Positive,
9,Highest number total and not now.,highest number total not,0.75,0.302,0.0,0.698,0.0772,Positive,
10,Or new?,new,0.45454545454545453,0.0,0.0,1.0,0.0,Neutral,
11,Total number is Bratislava region followed by.,total number bratislava region follow,0.75,0.605,0.0,0.395,0.5563,Positive,
12,That one.,one,0.0,0.0,0.0,1.0,0.0,Neutral,
13,"No, it's this one.",no one,0.0,0.0,0.688,0.312,-0.296,Negative,
14,Press shove or press solve region.,press shove press solve region,0.0,0.31,0.0,0.69,0.2023,Positive,
15,"Alright, I think.",alright think,0.0,0.667,0.0,0.333,0.25,Positive,
16,Cool.,cool,0.65,1.0,0.0,0.0,0.3182,Positive,
17,Were the COVID statistics understandable?,covid statistic understandable,0.0,0.0,0.0,1.0,0.0,Neutral,
18,"Yeah, I suppose so.",yeah suppose,0.0,0.688,0.0,0.312,0.296,Positive,['Expectation']
19,I can read numbers.,read number,0.0,0.565,0.0,0.435,0.0772,Positive,
20,Find the information about exemptions from compulsory home isolation after arriving in Slovakia.,find information exemption compulsory home isolation arrive slovakia,0.0,0.256,0.231,0.513,0.0772,Positive,
21,Exemptions from.,exemptions,0.0,0.0,0.0,1.0,0.0,Neutral,
22,Go home.,go home,0.0,0.0,0.0,1.0,0.0,Neutral,
23,Start from there again.,start,0.0,0.0,0.0,1.0,0.0,Neutral,
24,Look for anything related to that.,look anything relate,0.0,0.0,0.0,1.0,0.0,Neutral,
25,Current measures perhaps?,current measure perhaps,0.4,0.0,0.0,1.0,0.0,Neutral,
26,None of those seem real.,none seem real,0.30000000000000004,0.0,0.0,1.0,0.0,Neutral,
27,Dude.,dude,0.0,0.0,0.0,1.0,0.0,Neutral,
28,"Travel, perhaps after arriving.",travel perhaps arrive,0.0,0.0,0.0,1.0,0.0,Neutral,
29,"Uh, perhaps travel regulations.",uh perhaps travel regulation,0.0,0.0,0.0,1.0,0.0,Neutral,
30,That opens up this.,open,0.5,0.0,0.0,1.0,0.0,Neutral,
31,OK.,ok,0.5,1.0,0.0,0.0,0.296,Positive,
32,This is the stipulations in which a person is considered vaccinated.,stipulation person consider vaccinated,0.0,0.0,0.0,1.0,0.0,Neutral,
33,A vaccinated people must do things.,vaccinated people must thing,0.0,0.0,0.0,1.0,0.0,Neutral,
34,Fill out a form which is valid for six months.,fill form valid six month,0.0,0.0,0.0,1.0,0.0,Neutral,
35,Vaccinated person.,vaccinated person,0.0,0.0,0.0,1.0,0.0,Neutral,
36,Do not need to enter mandatory self isolation after arrival to the Slovak Republic.,not need enter mandatory self isolation arrival slovak republic,0.0,0.0,0.359,0.641,-0.4445,Negative,
37,That is an exemption.,exemption,0.0,0.0,0.0,1.0,0.0,Neutral,
38,But there is also.,also,0.0,0.0,0.0,1.0,0.0,Neutral,
39,"Sort of exemption in this case, but that's not for self isolation.",sort exemption case not self isolation,0.0,0.311,0.0,0.689,0.3089,Positive,
40,That's for testing.,test,0.0,0.0,0.0,1.0,0.0,Neutral,
41,"If Thursday exceeds 12 hours left, submit an application through the web page.",thursday exceed 12 hour leave submit application web page,0.0,0.0,0.13,0.87,-0.0516,Negative,
42,Registration is valid for one week.,registration valid one week,0.0,0.0,0.0,1.0,0.0,Neutral,
43,Consider that to be done.,consider,0.0,0.0,0.0,1.0,0.0,Neutral,
44,How do you feel about navigating on the exemptions website?,feel navigate exemption website,0.0,0.0,0.0,1.0,0.0,Neutral,
45,I don't know.,not know,0.0,0.0,0.713,0.287,-0.357,Negative,
46,I don't particularly.,not particularly,0.3333333333333333,0.0,0.0,1.0,0.0,Neutral,
47,Feel much.,feel much,0.2,0.0,0.0,1.0,0.0,Neutral,
48,About it Is there an exemption website?,exemption website,0.0,0.0,0.0,1.0,0.0,Neutral,
49,"I mean, I mostly just ignore it.",mean mostly ignore,0.59375,0.0,0.556,0.444,-0.3612,Negative,
50,I like seeing all the information.,like see information,0.0,0.846,0.0,0.154,0.6705,Positive,['Satisfaction']
51,"Anyway, like as I go down, I can read everything and if I need to know something else I can refer back.",anyway like go read everything need know something else refer back,0.0,0.379,0.0,0.621,0.6705,Positive,['Satisfaction']
52,To all the other things that I've already seen.,thing already see,0.0,0.6,0.0,0.4,0.4588,Positive,
53,Receive the information from what you search and not all this other things that.,receive information search not thing,0.0,0.0,0.0,1.0,0.0,Neutral,
54,I can see at a glance.,see glance,0.0,0.75,0.0,0.25,0.4588,Positive,
55,"Well, I look for the other stuff.",well look stuff,0.0,0.512,0.0,0.488,0.2732,Positive,
56,You're planning to arrive from abroad to Slovakia.,plan arrive abroad slovakia,0.0,0.0,0.0,1.0,0.0,Neutral,
